PHP_Code,is_vulnerable,Description
"<?php
$handle = @fopen(""/tmp/tainted.txt"", ""r"");
if ($handle) {
 if(($tainted = fgets($handle, 4096)) == false) {
 $tainted = """";
 }
 fclose($handle);
} else {
 $tainted = """";
}
$tainted = intval($tainted);
$var = require(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__fopen__func_intval__require_file_id-concatenation_simple_quote
"<?php
$tainted = $_POST['UserData'];
$tainted = $tainted + 0;
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__POST__CAST-cast_int_sort_of2__include_file_id-concatenation_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$re = ""/^[a-zA-Z0-9]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$var = include(""'$tainted'.php"");
?>",0,CWE_98__popen__func_preg_match-letters_numbers__include_file_name-interpretation_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$tainted += 0.0 ;
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__SESSION__CAST-cast_float_sort_of__include_file_id-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input;
 }
 public function __construct(){
 $this->input = $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$sanitized = filter_var($tainted, FILTER_SANITIZE_NUMBER_FLOAT);
if (filter_var($sanitized, FILTER_VALIDATE_FLOAT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = require(""pages/'$tainted'.php"");
?>",0,CWE_98__object-classicGet__func_FILTER-CLEANING-number_float_filter__require_file_id-interpretation_simple_quote
"<?php
$array = array();
$array[] = 'safe' ;
$array[] = $_GET['userData'] ;
$array[] = 'safe' ;
$tainted = $array[1] ;
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$var = include(""pages/'$tainted'.php"");
?>",0,CWE_98__array-GET__ternary_white_list__include_file_id-interpretation_simple_quote
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$var = include(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__shell_exec__ternary_white_list__include_file_id-sprintf_%d_simple_quote
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$var = require(sprintf(""'%s'.php"", $tainted));
?>",0,CWE_98__shell_exec__ternary_white_list__require_file_name-sprintf_%s_simple_quote
"<?php
$array = array();
$array[] = 'safe' ;
$array[] = $_GET['userData'] ;
$array[] = 'safe' ;
$tainted = $array[1] ;
$tainted = htmlspecialchars($tainted, ENT_QUOTES);
$var = require(""'"". $tainted . "".php'"");
?>",0,CWE_98__array-GET__func_htmlspecialchars__require_file_name-concatenation_simple_quote
"<?php
$script = ""/tmp/tainted.php"";
exec($script, $result, $return);
$tainted = $result[0];
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$var = require(""pages/'$tainted'.php"");
?>",0,CWE_98__exec__whitelist_using_array__require_file_id-interpretation_simple_quote
"<?php
$tainted = system('ls', $retval);
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$var = include(""pages/'$tainted'.php"");
?>",0,CWE_98__system__ternary_white_list__include_file_id-interpretation_simple_quote
"<?php
$tainted = $_POST['UserData'];
$tainted = intval($tainted);
$var = include(""pages/'$tainted'.php"");
?>",0,CWE_98__POST__func_intval__include_file_id-interpretation_simple_quote
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
$sanitized = filter_var($tainted, FILTER_SANITIZE_MAGIC_QUOTES);
 $tainted = $sanitized ;
 
$var = require(""'"". $tainted . "".php'"");
?>",0,CWE_98__shell_exec__func_FILTER-CLEANING-magic_quotes_filter__require_file_name-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = $tainted + 0;
$var = require(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__object-indexArray__CAST-cast_int_sort_of2__require_file_id-concatenation_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$tainted = htmlspecialchars($tainted, ENT_QUOTES);
$var = include(sprintf(""'%s'.php"", $tainted));
?>",0,CWE_98__SESSION__func_htmlspecialchars__include_file_name-sprintf_%s_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input;
 }
 public function __construct(){
 $this->input = $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$re = ""/^[a-zA-Z0-9]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$var = include(sprintf(""'%s'.php"", $tainted));
?>",0,CWE_98__object-classicGet__func_preg_match-letters_numbers__include_file_name-sprintf_%s_simple_quote
"<?php
$tainted = $_GET['UserData'];
$sanitized = filter_var($tainted, FILTER_SANITIZE_NUMBER_INT);
if (filter_var($sanitized, FILTER_VALIDATE_INT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = require(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__GET__func_FILTER-CLEANING-number_int_filter__require_file_id-sprintf_%d_simple_quote
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
if (settype($tainted, ""integer""))
 $tainted = $tainted ;
else
 $tainted = 0 ;
$var = require(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__proc_open__CAST-func_settype_int__require_file_id-sprintf_%d_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
if (filter_var($sanitized, FILTER_VALIDATE_INT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = require(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__SESSION__func_FILTER-VALIDATION-number_int_filter__require_file_id-concatenation_simple_quote
"<?php
$handle = @fopen(""/tmp/tainted.txt"", ""r"");
if ($handle) {
 if(($tainted = fgets($handle, 4096)) == false) {
 $tainted = """";
 }
 fclose($handle);
} else {
 $tainted = """";
}
if (filter_var($sanitized, FILTER_VALIDATE_FLOAT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__fopen__func_FILTER-VALIDATION-number_float_filter__include_file_id-concatenation_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
if (filter_var($sanitized, FILTER_VALIDATE_FLOAT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = require(""pages/'$tainted'.php"");
?>",0,CWE_98__popen__func_FILTER-VALIDATION-number_float_filter__require_file_id-interpretation_simple_quote
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
$tainted += 0.0 ;
$var = include(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__proc_open__CAST-cast_float_sort_of__include_file_id-sprintf_%d_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$tainted = htmlentities($tainted, ENT_QUOTES);
$var = include(""'"". $tainted . "".php'"");
?>",0,CWE_98__SESSION__func_htmlentities__include_file_name-concatenation_simple_quote
"<?php
$string = $_POST['UserData'] ;
$tainted = unserialize($string);
 
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__unserialize__whitelist_using_array__include_file_id-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = intval($tainted);
$var = require(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__object-indexArray__func_intval__require_file_id-sprintf_%d_simple_quote
"<?php
$script = ""/tmp/tainted.php"";
exec($script, $result, $return);
$tainted = $result[0];
$tainted = intval($tainted);
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__exec__func_intval__include_file_id-concatenation_simple_quote
"<?php
$tainted = $_GET['UserData'];
$tainted = addslashes($tainted);
$var = include(sprintf(""'%s'.php"", $tainted));
?>",0,CWE_98__GET__func_addslashes__include_file_name-sprintf_%s_simple_quote
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
$re = ""/^[a-zA-Z]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$var = require(""'"". $tainted . "".php'"");
?>",0,CWE_98__proc_open__func_preg_match-only_letters__require_file_name-concatenation_simple_quote
"<?php
$tainted = `cat /tmp/tainted.txt`;
$sanitized = filter_var($tainted, FILTER_SANITIZE_NUMBER_INT);
if (filter_var($sanitized, FILTER_VALIDATE_INT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = include(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__backticks__func_FILTER-CLEANING-number_int_filter__include_file_id-sprintf_%d_simple_quote
"<?php
$script = ""/tmp/tainted.php"";
exec($script, $result, $return);
$tainted = $result[0];
$tainted = (int) $tainted ;
$var = include(""pages/'$tainted'.php"");
?>",0,CWE_98__exec__CAST-cast_int__include_file_id-interpretation_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$sanitized = filter_var($tainted, FILTER_SANITIZE_MAGIC_QUOTES);
 $tainted = $sanitized ;
 
$var = include(""'$tainted'.php"");
?>",0,CWE_98__popen__func_FILTER-CLEANING-magic_quotes_filter__include_file_name-interpretation_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$tainted = addslashes($tainted);
$var = include(sprintf(""'%s'.php"", $tainted));
?>",0,CWE_98__popen__func_addslashes__include_file_name-sprintf_%s_simple_quote
"<?php
$handle = @fopen(""/tmp/tainted.txt"", ""r"");
if ($handle) {
 if(($tainted = fgets($handle, 4096)) == false) {
 $tainted = """";
 }
 fclose($handle);
} else {
 $tainted = """";
}
$sanitized = filter_var($tainted, FILTER_SANITIZE_NUMBER_FLOAT);
if (filter_var($sanitized, FILTER_VALIDATE_FLOAT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = require(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__fopen__func_FILTER-CLEANING-number_float_filter__require_file_id-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input[1];
 }
 public function __construct(){
 $this->input = array();
 $this->input[0]= 'safe' ;
 $this->input[1]= $_GET['UserData'] ;
 $this->input[2]= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = mysql_real_escape_string($tainted);
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__object-Array__func_mysql_real_escape_string__include_file_id-concatenation_simple_quote
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
if (filter_var($sanitized, FILTER_VALIDATE_FLOAT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = include(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__shell_exec__func_FILTER-VALIDATION-number_float_filter__include_file_id-sprintf_%d_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$sanitized = filter_var($tainted, FILTER_SANITIZE_MAGIC_QUOTES);
 $tainted = $sanitized ;
 
$var = require(""'$tainted'.php"");
?>",0,CWE_98__popen__func_FILTER-CLEANING-magic_quotes_filter__require_file_name-interpretation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input;
 }
 public function __construct(){
 $this->input = $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
if(settype($tainted, ""float""))
 $tainted = $tainted ;
else
 $tainted = 0.0 ;
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__object-classicGet__CAST-func_settype_float__include_file_id-concatenation_simple_quote
"<?php
$script = ""/tmp/tainted.php"";
exec($script, $result, $return);
$tainted = $result[0];
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__exec__ternary_white_list__include_file_id-concatenation_simple_quote
"<?php
$array = array();
$array[] = 'safe' ;
$array[] = $_GET['userData'] ;
$array[] = 'safe' ;
$tainted = $array[1] ;
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$var = require(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__array-GET__ternary_white_list__require_file_id-sprintf_%d_simple_quote
"<?php
$tainted = system('ls', $retval);
$sanitized = filter_var($tainted, FILTER_SANITIZE_NUMBER_FLOAT);
if (filter_var($sanitized, FILTER_VALIDATE_FLOAT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__system__func_FILTER-CLEANING-number_float_filter__include_file_id-concatenation_simple_quote
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
$tainted += 0 ;
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__proc_open__CAST-cast_int_sort_of__include_file_id-concatenation_simple_quote
"<?php
$tainted = $_GET['UserData'];
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$var = include(""'$tainted'.php"");
?>",0,CWE_98__GET__whitelist_using_array__include_file_name-interpretation_simple_quote
"<?php
$array = array();
$array[] = 'safe' ;
$array[] = $_GET['userData'] ;
$array[] = 'safe' ;
$tainted = $array[1] ;
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$var = include(""'"". $tainted . "".php'"");
?>",0,CWE_98__array-GET__ternary_white_list__include_file_name-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input;
 }
 public function __construct(){
 $this->input = $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
if (settype($tainted, ""integer""))
 $tainted = $tainted ;
else
 $tainted = 0 ;
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__object-classicGet__CAST-func_settype_int__include_file_id-concatenation_simple_quote
"<?php
$handle = @fopen(""/tmp/tainted.txt"", ""r"");
if ($handle) {
 if(($tainted = fgets($handle, 4096)) == false) {
 $tainted = """";
 }
 fclose($handle);
} else {
 $tainted = """";
}
if(settype($tainted, ""float""))
 $tainted = $tainted ;
else
 $tainted = 0.0 ;
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__fopen__CAST-func_settype_float__include_file_id-concatenation_simple_quote
"<?php
$script = ""/tmp/tainted.php"";
exec($script, $result, $return);
$tainted = $result[0];
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$var = require(""'"". $tainted . "".php'"");
?>",0,CWE_98__exec__ternary_white_list__require_file_name-concatenation_simple_quote
"<?php
$tainted = system('ls', $retval);
$tainted = htmlentities($tainted, ENT_QUOTES);
$var = require(sprintf(""'%s'.php"", $tainted));
?>",0,CWE_98__system__func_htmlentities__require_file_name-sprintf_%s_simple_quote
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
$tainted = addslashes($tainted);
$var = require(""'$tainted'.php"");
?>",0,CWE_98__proc_open__func_addslashes__require_file_name-interpretation_simple_quote
"<?php
$tainted = $_GET['UserData'];
$re = ""/^[a-zA-Z0-9]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$var = require(""'$tainted'.php"");
?>",0,CWE_98__GET__func_preg_match-letters_numbers__require_file_name-interpretation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = (int) $tainted ;
$var = require(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__object-indexArray__CAST-cast_int__require_file_id-concatenation_simple_quote
"<?php
$tainted = system('ls', $retval);
$tainted = $tainted + 0;
$var = require(""pages/'$tainted'.php"");
?>",0,CWE_98__system__CAST-cast_int_sort_of2__require_file_id-interpretation_simple_quote
"<?php
$tainted = $_POST['UserData'];
$tainted = floatval($tainted);
$var = require(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__POST__func_floatval__require_file_id-sprintf_%d_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = (int) $tainted ;
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__object-indexArray__CAST-cast_int__include_file_id-concatenation_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$sanitized = filter_var($tainted, FILTER_SANITIZE_NUMBER_INT);
if (filter_var($sanitized, FILTER_VALIDATE_INT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = include(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__SESSION__func_FILTER-CLEANING-number_int_filter__include_file_id-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = floatval($tainted);
$var = require(""pages/'$tainted'.php"");
?>",0,CWE_98__object-indexArray__func_floatval__require_file_id-interpretation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input[1];
 }
 public function __construct(){
 $this->input = array();
 $this->input[0]= 'safe' ;
 $this->input[1]= $_GET['UserData'] ;
 $this->input[2]= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
if (filter_var($sanitized, FILTER_VALIDATE_FLOAT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = include(""pages/'$tainted'.php"");
?>",0,CWE_98__object-Array__func_FILTER-VALIDATION-number_float_filter__include_file_id-interpretation_simple_quote
"<?php
$array = array();
$array[] = 'safe' ;
$array[] = $_GET['userData'] ;
$array[] = 'safe' ;
$tainted = $array[1] ;
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$var = require(""'$tainted'.php"");
?>",0,CWE_98__array-GET__whitelist_using_array__require_file_name-interpretation_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$tainted += 0 ;
$var = require(""pages/'$tainted'.php"");
?>",0,CWE_98__SESSION__CAST-cast_int_sort_of__require_file_id-interpretation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input;
 }
 public function __construct(){
 $this->input = $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
if(settype($tainted, ""float""))
 $tainted = $tainted ;
else
 $tainted = 0.0 ;
$var = require(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__object-classicGet__CAST-func_settype_float__require_file_id-sprintf_%d_simple_quote
